s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Ghulam Khan,1,Z4,34.70799,61.00488,Logar,AF05,34.013175,69.171596,2148
Spin Boldak –  Chaman,1,Z6,30.955879,66.437425,Samangan,AF20,35.989962,67.746321,1961
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Faryab,AF29,36.054515,64.859923,1940
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Farah,AF33,32.497557,62.462352,1866
Ghulam Khan,1,Z4,34.70799,61.00488,Laghman,AF07,34.762935,70.170187,1777
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Daykundi,AF24,33.764021,66.184738,1749
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Paktika,AF12,32.481676,68.751118,1718
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Ghazni,AF11,33.298822,67.811789,1644
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Herat,AF32,34.059812,61.988025,1644
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Kandahar,AF27,31.052452,65.712547,1615
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Sar-e-Pul,AF22,35.732534,66.13302,1520
Ghulam Khan,1,Z4,34.70799,61.00488,Panjsher,AF08,35.44593,69.794822,1481
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Nuristan,AF16,35.403435,70.806989,1389
Angor ada,1,Z2,29.42026,64.015136,Kabul,AF01,34.554066,69.332594,1338
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Kabul,AF01,34.554066,69.332594,1301
Islam Qala - Taybad,1,Z5,34.70799,61.00488,Zabul,AF26,32.193437,67.159692,1242
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Uruzgan,AF25,32.942363,66.132258,1233
Bahramcha,1,Z3,29.42026,64.015136,Ghazni,AF11,33.298822,67.811789,1157
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Ghor,AF23,34.223853,64.928959,1052
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Helmand,AF30,31.185119,64.052756,990
Pul-e-Abrisham (Milak),1,Z8,30.96555,61.823383,Samangan,AF20,35.989962,67.746321,984
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Badghis,AF31,35.139966,63.677186,934
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Zabul,AF26,32.193437,67.159692,890
Islam Qala - Taybad,1,Z5,34.70799,61.00488,Nimroz,AF34,30.789339,62.316668,759
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Herat,AF32,34.059812,61.988025,758
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Logar,AF05,34.013175,69.171596,753
Nazar Posta,1,Z9,30.955879,66.437425,Panjsher,AF08,35.44593,69.794822,729
